GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage/vip-api,fr.insalyon.creatis.vip.api.security,ApiSecurityConfig.CurrentUserProvider,7,46,1,7,3,16,1,7,0,4
coverage/vip-api,fr.insalyon.creatis.vip.api.security,VipAuthenticationEntryPoint,5,74,1,7,1,21,1,6,0,3
coverage/vip-api,fr.insalyon.creatis.vip.api.security,ApiSecurityConfig,20,230,2,2,6,47,4,9,2,9
coverage/vip-api,fr.insalyon.creatis.vip.api.security,EgiSecurityConfig,9,53,0,0,3,23,1,4,1,4
coverage/vip-api,fr.insalyon.creatis.vip.api.security.keycloak,PathBasedKeycloakConfigResolver,34,8,2,0,9,2,2,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.security.keycloak,SpringKeycloakPrincipal,11,0,0,0,4,0,2,0,2,0
coverage/vip-api,fr.insalyon.creatis.vip.api.security.keycloak,VipKeycloakAuthenticationProvider,83,14,2,0,23,5,2,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller.data,DataController,265,14,0,0,36,5,9,1,9,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,EgiController,116,14,6,0,26,5,5,1,2,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,PlatformController,2,169,1,3,1,34,1,6,0,5
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ApiKeyController.KeyInfo,17,0,0,0,7,0,5,0,5,0
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,RegisterUserController,0,63,0,0,0,15,0,2,0,2
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,RefreshTokenController,22,6,2,0,5,3,2,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ApiKeyController,94,14,2,0,23,5,5,1,4,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ExternalPlatformController,17,11,0,0,4,4,1,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ApiController,9,41,0,2,1,8,1,5,1,4
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,RestExceptionHandler,7,148,1,1,1,31,1,9,0,9
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,AuthenticationController,60,31,2,0,9,7,3,2,2,2
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,ApikeyAuthenticationToken,5,61,1,1,1,19,1,6,0,6
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,SpringApiPrincipal,4,34,1,1,1,11,2,9,1,9
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,ApikeyAuthenticationProvider,90,116,4,6,19,34,4,7,0,6
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,ApikeyAuthenticationFilter,0,102,0,2,0,31,0,4,0,3
coverage/vip-api,fr.insalyon.creatis.vip.api.exception,ApiException,11,30,0,0,4,10,2,4,2,4
coverage/vip-api,fr.insalyon.creatis.vip.api.exception,ApiException.ApiError,3,345,0,0,1,47,1,7,1,7
